ind,season,town,prop.fruit,blp,cfp,cap,gsp,lcp,mtp,mbp,mcp,mrp,mlp,oap,pwp,qpp,spp,srp,vmp
4D2,Summer,S,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
9,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,Summer,W,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0
300,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Summer,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Summer,W,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
40,Summer,W,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0
40,Summer,W,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
Scuteless,Summer,E,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
606,Summer,E,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
4D2,Summer,S,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Fall,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Fall,S,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
40,Fall,W,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0
615,Fall,W,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0
491,Fall,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Fall,W,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
589,Fall,E,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Scuteless,Fall,E,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
